nickname,content,ip_location,create_date_time
malik_0p125,Wiin shing shouang,,2023-06-19 19:39:32
sp.ook5y,Who’s bros opps,,2023-06-20 04:01:05
_geo084,@appleuser_withballs bro training for the tenkaichi budokai,,2023-06-20 07:26:48
theboogyman556,Master roshi,,2023-06-19 21:13:35
hakkkkz_,Bro has enemy ,,2023-06-19 10:24:08
imuhhcaptain,I love these videos,,2023-06-24 16:18:32
gundamlc,join MMA,,2023-06-19 13:57:11
usop_kardesim_malmisin,ı don t know what they did but i like it,,2023-06-19 04:17:32
user6105085240291,❤❤,,2023-06-20 03:20:37
.wholelottabenji,mood,,2023-06-25 02:49:56
kaakumo12, life is trouple,,2023-06-18 18:04:06
drakeluvsmellyalcohol,Who is bluds opps,,2023-06-19 02:37:47
lowrxted,bro is doing the same training every 3 months,,2023-08-01 12:31:53
gooberass,Every couple of months,,2023-07-26 06:08:15
nolandubbya,@DJEQ this gon be me one day,,2023-07-26 03:10:17
chrollolucifer07,Master roshi ,,2023-07-30 15:17:35
wise_old_wizard,Wise Old Wizard,,2023-08-10 15:58:49
im_ryans,Oh hey he’s alive,,2023-07-26 01:05:36
fiverchange2,What opponent is a circle on a bar,,2023-07-30 18:12:40
fertilisedsprinkler,4th anniversary with this video,,2023-07-27 09:59:23
_yasx_xx,oh brother,,2023-07-31 14:22:31
reaver330,reminds me of my training in the past,,2023-08-04 09:07:08
vladion31,Master Roshi in the real life ,,2023-07-25 20:29:49
willwilson._._,Villa basement,,2023-07-31 19:41:30
dolsz25,That's master roshi right there and Tien,,2023-07-26 06:10:12
th_targets1,Master Roshi,,2023-08-03 03:39:47
trulyzain,Master roshi,,2023-07-27 14:34:49
ripa.sawrt,They come back every year to haunt me ,,2023-07-31 07:57:39
that1.nerd,Id Watch this show,,2023-07-27 17:28:38
user3x4hgj3914,Bros enemy is master splinter ,,2023-07-26 06:11:14
chiri_chr,what game is this,,2023-07-25 14:42:27
samuelrydelius,Bros training to defeat a wheel,,2023-07-26 00:11:21
wamywizai,Blud think he Bruce lee,,2023-07-26 04:52:51
luxaeterna8,Luke and yoda ,,2023-07-28 03:29:18
deejaaykoko,Master shifu and tai lung,,2023-07-26 02:03:47
aonyx_cin,Does this hurt the fish ?,,2023-07-25 16:43:52
20thcenturygs,why does the Master kinda Look like roshi,,2023-07-25 23:00:31
blakeward8,Master Roshi is that you,,2023-07-30 08:19:51
eiainakaajonatan,bruh i dont get the rice thing,,2023-07-25 22:34:36
urdadsname4,Why they got a beff with the metal,,2023-07-26 05:05:42
leelasaikrishnach60,best funny videos ,,2023-07-26 01:19:37
universethekid,Good music,,2023-07-26 23:23:51
vitaltcv,I’ve seen this every year bro,,2023-07-30 05:44:43
diablo_lmao,Ninjago,,2023-07-26 11:58:16
bruhmode90,Roshi and Tien training,,2023-07-26 22:31:45
youaremysunshine6969,I know that hurts,,2023-07-26 05:48:21
4intent,1 master one jar,,2023-08-04 18:01:50
bxjeiejdjiwowsj,Hahahahaha~~Beautiful~,,2023-07-27 00:28:10
jpfiker0612,Ip man 6,,2023-07-29 22:55:02
justcoolu,long before time had a name,,2023-08-02 00:28:43
fonzieofficial,Best school ,,2023-07-26 10:12:21
iconicshaq,Master Roshi still training people,,2023-07-27 04:49:16
japriv6,@anti @Samuel Hojun dad,,2023-08-01 22:22:35
